altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,20,3,Chicago,125,True,True,Chicago,2020-04-19 18:37:22,41.890173,Chicago,-87.626185,60602,Chicago,Chicago,Rush St & Hubbard St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,9,6,Chicago,126,True,True,Chicago,2020-04-19 19:44:16,41.911974,Chicago,-87.631942,60602,Chicago,Chicago,Clark St & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,127,True,True,Chicago,2020-04-19 20:19:26,41.925905,Chicago,-87.64926,60602,Chicago,Chicago,Lincoln Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,12,7,Chicago,128,True,True,Chicago,2020-04-19 23:34:37,41.895769,Chicago,-87.67722,60602,Chicago,Chicago,Damen Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,4,Chicago,129,True,True,Chicago,2020-04-19 19:54:18,41.857556,Chicago,-87.661535,60602,Chicago,Chicago,Blue Island Ave & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,11,Chicago,130,True,True,Chicago,2020-04-19 17:45:52,41.903266,Chicago,-87.678435,60602,Chicago,Chicago,Damen Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,4,Chicago,131,True,True,Chicago,2020-04-19 18:28:47,41.939365,Chicago,-87.668385,60602,Chicago,Chicago,Lincoln Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,132,True,True,Chicago,2020-04-19 18:11:46,41.85008369347577,Chicago,-87.6321405172348,60602,Chicago,Chicago,Wentworth Ave & 24th St (Temp),IN_SERVICE,1,IN_SERVICE,False,15
0.0,23,8,Chicago,133,True,True,Chicago,2020-04-19 19:27:55,41.88917683258,Chicago,-87.6385057718,60602,Chicago,Chicago,Kingsbury St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,15,4,Chicago,134,True,True,Chicago,2020-04-19 19:28:49,41.8776415962753,Chicago,-87.64961779117584,60602,Chicago,Chicago,Peoria St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,8,Chicago,135,True,True,Chicago,2020-04-19 15:56:21,41.85378,Chicago,-87.64665,60602,Chicago,Chicago,Halsted St & 21st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,13,Chicago,136,True,True,Chicago,2020-04-19 18:33:37,41.865054,Chicago,-87.656959,60602,Chicago,Chicago,Racine Ave & 13th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,6,Chicago,137,True,True,Chicago,2020-04-19 15:18:17,41.862378,Chicago,-87.651062,60602,Chicago,Chicago,Morgan Ave & 14th Pl,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,9,Chicago,138,True,True,Chicago,2020-04-19 21:20:03,41.904613,Chicago,-87.640552,60602,Chicago,Chicago,Clybourn Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,14,5,Chicago,140,True,True,Chicago,2020-04-19 19:42:47,41.898969,Chicago,-87.629912,60602,Chicago,Chicago,Dearborn Pkwy & Delaware Pl,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,11,Chicago,141,True,True,Chicago,2020-04-19 22:19:00,41.915689,Chicago,-87.6346,60602,Chicago,Chicago,Clark St & Lincoln Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,12,19,Chicago,142,True,True,Chicago,2020-04-19 20:23:58,41.894503,Chicago,-87.617854,60602,Chicago,Chicago,McClurg Ct & Erie St,IN_SERVICE,1,IN_SERVICE,False,31
